UDI,Product ID,Type,Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Tool wear [min],Machine failure,TWF,HDF,PWF,OSF,RNF,Timestamp,Shift,Downtime_min,Quantity_Produced,Ideal_Production_per_Hour
2480,L49659,L,299.0,308.5,1604,34.7,6.193019065681637,0,0,0,0,0,0,2025-05-06 19:00:00,2,0,54,50
2481,L49660,L,299.0,308.6,1734,32.4,7.711776614988626,0,0,0,0,0,0,2025-05-06 20:00:00,2,0,47,50
2482,L49661,L,299.0,308.6,1378,47.8,8.823617970158912,0,0,0,0,0,0,2025-05-06 21:00:00,2,0,50,50
2483,L49662,L,298.9,308.7,1504,41.8,10.101096053802687,0,0,0,0,0,0,2025-05-06 22:00:00,3,0,52,50
2484,M17343,M,298.9,308.7,1402,49.8,10.603238568421451,0,0,0,0,0,0,2025-05-06 23:00:00,3,0,53,50
2485,H31898,H,298.8,308.6,1524,37.7,11.369575447991286,0,0,0,0,0,0,2025-05-07 00:00:00,3,0,53,50
2486,L49665,L,298.8,308.6,1593,35.5,12.299845416462086,0,0,0,0,0,0,2025-05-07 01:00:00,3,0,47,50
2487,M17346,M,298.9,308.7,1772,28.4,13.702584939411658,0,0,0,0,0,0,2025-05-07 03:00:00,3,0,46,50
2488,H31901,H,298.9,308.6,1623,31.0,15.391845007321947,0,0,0,0,0,0,2025-05-07 04:00:00,3,0,48,50
2489,L49668,L,298.9,308.7,1356,50.7,16.240279488466626,0,0,0,0,0,0,2025-05-07 05:00:00,3,0,54,50
2490,H31903,H,298.9,308.7,1500,41.6,17.17114151042889,0,0,0,0,0,0,2025-05-07 06:00:00,1,0,48,50
2491,H31904,H,299.1,308.8,1566,46.6,18.625299962394315,0,0,0,0,0,0,2025-05-07 07:00:00,1,0,47,50
2492,L49671,L,299.1,308.9,1445,43.4,19.556186504709917,0,0,0,0,0,0,2025-05-07 08:00:00,1,0,46,50
2493,H31906,H,299.0,308.8,1382,58.5,20.938402064804315,0,0,0,0,0,0,2025-05-07 09:00:00,1,0,45,50
2494,M17353,M,299.0,308.8,1418,45.7,22.16125231546928,0,0,0,0,0,0,2025-05-07 10:00:00,1,0,48,50
2495,L49674,L,299.1,308.8,1329,53.6,23.07286989696984,0,0,0,0,1,0,2025-05-07 11:00:00,1,0,51,50
2496,M17355,M,299.1,308.8,1491,41.0,24.980948849936635,0,0,0,0,0,0,2025-05-07 12:00:00,1,0,45,50
2497,M17356,M,299.2,308.9,1573,37.4,26.306766800866626,0,0,0,0,0,0,2025-05-07 13:00:00,1,0,50,50
2498,M17357,M,299.2,308.9,1521,42.3,26.994201649992654,0,0,0,0,0,0,2025-05-07 14:00:00,2,0,49,50
2499,L49678,L,299.1,308.9,1467,47.2,28.195282653164544,0,0,0,0,0,0,2025-05-07 15:00:00,2,0,51,50
2500,M17359,M,299.1,308.9,1325,48.4,29.164549595173046,0,0,0,0,0,0,2025-05-07 16:00:00,2,0,45,50
2501,L49680,L,299.1,308.9,1617,32.3,29.812577436812926,0,0,0,0,0,0,2025-05-07 17:00:00,2,0,54,50
2502,M17361,M,299.1,308.9,1476,42.7,30.86041932619825,0,0,0,0,0,0,2025-05-07 18:00:00,2,0,45,50
2503,L49682,L,299.2,309.0,1515,48.9,32.46963130702442,0,0,0,0,1,0,2025-05-07 19:00:00,2,0,49,50
2504,L49683,L,299.2,309.0,1408,47.2,33.81689346210056,0,0,0,0,0,0,2025-05-07 20:00:00,2,0,50,50
2505,L49684,L,299.2,309.1,1468,45.6,0.0,1,0,0,0,0,0,2025-05-07 21:00:00,2,60,3,50
2506,L49685,L,299.2,309.1,1387,48.7,1.7113043830969896,0,0,0,0,0,0,2025-05-07 22:00:00,3,0,45,50
2507,M17366,M,299.2,309.1,1503,34.7,2.564653284988742,0,0,0,0,0,0,2025-05-07 23:00:00,3,0,53,50
2508,H31921,H,299.2,309.1,1410,47.1,3.9610730713874327,0,0,0,0,0,0,2025-05-08 00:00:00,3,0,54,50
2509,L49688,L,299.0,308.9,1615,30.6,5.859266721058412,0,0,0,0,0,0,2025-05-08 01:00:00,3,0,50,50
2510,L49689,L,299.0,308.9,1511,35.9,6.682170289737163,0,0,0,0,0,0,2025-05-08 03:00:00,3,0,46,50
2511,L49690,L,299.1,309.0,1405,53.8,7.958569487317875,0,0,0,0,0,0,2025-05-08 04:00:00,3,0,45,50
2512,M17371,M,299.0,308.9,1526,41.1,9.066071135199197,0,0,0,0,0,0,2025-05-08 05:00:00,3,0,49,50
2513,L49692,L,298.9,308.8,1530,38.3,10.050862509985263,0,0,0,0,0,0,2025-05-08 06:00:00,1,0,49,50
2514,L49693,L,299.0,308.7,1583,32.5,10.785656330108875,0,0,0,0,0,0,2025-05-08 07:00:00,1,0,55,50
2515,L49694,L,298.9,308.6,2069,18.7,12.291326328032639,0,0,0,0,0,0,2025-05-08 08:00:00,1,0,48,50
2516,L49695,L,298.8,308.5,1490,35.0,14.16345032112413,0,0,0,0,0,0,2025-05-08 09:00:00,1,0,54,50
2517,L49696,L,298.8,308.5,1736,29.0,15.781312550382792,0,0,0,0,0,0,2025-05-08 10:00:00,1,0,47,50
2518,L49697,L,298.8,308.5,1395,44.4,17.537488892634894,0,0,0,0,0,0,2025-05-08 11:00:00,1,0,50,50
2519,M17378,M,298.9,308.6,1425,49.6,18.14509190825603,0,0,0,0,0,0,2025-05-08 12:00:00,1,0,51,50
2520,L49699,L,298.8,308.6,1631,32.4,20.007707069158887,0,0,0,0,0,0,2025-05-08 13:00:00,1,0,45,50
2521,L49700,L,298.8,308.6,1535,41.2,20.668577319402655,0,0,0,0,0,0,2025-05-08 14:00:00,2,0,53,50
2522,L49701,L,298.8,308.6,1584,34.4,22.53295736198332,0,0,0,0,0,0,2025-05-08 15:00:00,2,0,54,50
2523,M17382,M,298.8,308.7,1543,38.2,23.372184761686498,0,0,0,0,0,0,2025-05-08 16:00:00,2,0,54,50
2524,L49703,L,298.8,308.7,1635,35.2,24.223068992855573,0,0,0,0,0,0,2025-05-08 17:00:00,2,0,53,50
2525,M17384,M,298.8,308.7,1446,45.5,24.992545819788585,0,0,0,0,0,0,2025-05-08 18:00:00,2,0,47,50
2526,M17385,M,298.8,308.6,1598,35.1,26.13380715617756,0,0,0,0,0,0,2025-05-08 19:00:00,2,0,50,50
2527,L49706,L,298.8,308.6,1501,35.0,27.126713665397325,0,0,0,0,0,0,2025-05-08 20:00:00,2,0,46,50
2528,L49707,L,298.8,308.5,1450,50.8,27.897668712309297,0,0,0,0,0,0,2025-05-08 21:00:00,2,0,54,50
2529,L49708,L,298.8,308.6,1730,25.9,28.796050109770338,0,0,0,0,0,0,2025-05-08 22:00:00,3,0,53,50
2530,M17389,M,298.8,308.6,1571,33.7,29.408734475002102,0,0,0,0,0,0,2025-05-08 23:00:00,3,0,54,50
2531,L49710,L,298.9,308.7,1438,51.7,29.91606117403248,0,0,0,0,0,0,2025-05-09 00:00:00,3,0,45,50
2532,M17391,M,298.8,308.5,1510,38.7,30.64016025671314,0,0,0,0,0,0,2025-05-09 01:00:00,3,0,53,50
2533,L49712,L,298.9,308.7,1389,44.9,32.49130050038924,0,0,0,0,0,0,2025-05-09 03:00:00,3,0,46,50
2534,L49713,L,298.8,308.7,1490,33.6,0.0,1,0,0,0,0,0,2025-05-09 04:00:00,3,60,7,50
2535,L49714,L,298.9,308.7,1729,26.6,0.5054844670169739,0,0,0,0,0,0,2025-05-09 05:00:00,3,0,53,50
2536,L49715,L,299.0,308.8,1495,38.4,1.3500588925418215,0,0,0,0,0,0,2025-05-09 06:00:00,1,0,52,50
2537,L49716,L,298.9,308.8,1281,53.9,2.8151134801464623,0,0,0,0,0,0,2025-05-09 07:00:00,1,0,50,50
2538,H31951,H,298.9,308.7,1353,48.1,3.6615824459385578,0,0,0,0,0,0,2025-05-09 08:00:00,1,0,47,50
2539,L49718,L,299.1,308.8,1429,50.1,4.727350633614924,0,0,0,0,0,0,2025-05-09 09:00:00,1,0,49,50
2540,L49719,L,299.1,308.8,1413,42.1,5.314676901727933,0,0,0,0,0,0,2025-05-09 10:00:00,1,0,49,50
2541,L49720,L,299.1,308.8,1502,38.3,6.252477667282532,0,0,0,0,0,0,2025-05-09 11:00:00,1,0,52,50
2542,H31955,H,299.1,308.8,1553,32.6,7.760967882272994,0,0,0,0,0,0,2025-05-09 12:00:00,1,0,50,50
2543,H31956,H,299.2,308.9,1712,26.4,8.87888770519139,0,0,0,0,0,0,2025-05-09 13:00:00,1,0,55,50
2544,L49723,L,299.3,309.0,1786,23.5,9.694301972044183,0,0,0,0,0,0,2025-05-09 14:00:00,2,0,48,50
2545,L49724,L,299.2,309.0,1951,21.4,11.018444890476957,0,0,0,0,0,0,2025-05-09 15:00:00,2,0,48,50
2546,M17405,M,299.2,309.0,1541,36.3,12.492175837723266,0,0,0,0,0,0,2025-05-09 16:00:00,2,0,54,50
2547,L49726,L,299.2,309.1,1605,34.3,13.473020674264653,0,0,0,0,0,0,2025-05-09 17:00:00,2,0,54,50
2548,L49727,L,299.2,309.1,1578,38.1,14.166152330316736,0,0,0,0,0,0,2025-05-09 18:00:00,2,0,54,50
2549,M17408,M,299.3,309.2,1440,37.5,15.520154278177573,0,0,0,0,0,0,2025-05-09 19:00:00,2,0,50,50
2550,L49729,L,299.4,309.2,1489,42.3,16.478627023431848,0,0,0,0,0,0,2025-05-09 20:00:00,2,0,48,50
2551,L49730,L,299.4,309.3,1366,48.4,17.087211120828314,0,0,0,0,0,0,2025-05-09 21:00:00,2,0,52,50
2552,L49731,L,299.3,309.2,1541,37.2,17.791965638953688,0,0,0,0,0,0,2025-05-09 22:00:00,3,0,55,50
2553,H31966,H,299.3,309.1,1552,40.7,19.752015488182117,0,0,0,0,0,0,2025-05-09 23:00:00,3,0,45,50
2554,L49733,L,299.3,309.1,1473,40.3,20.96267542695375,0,0,0,0,0,0,2025-05-10 00:00:00,3,0,47,50
2555,L49734,L,299.3,309.1,1531,37.9,22.164888339759855,0,0,0,0,0,0,2025-05-10 01:00:00,3,0,55,50
2556,L49735,L,299.3,309.2,1511,37.2,23.680839369263346,0,0,0,0,0,0,2025-05-10 03:00:00,3,0,55,50
2557,M17416,M,299.3,309.1,1449,47.9,24.944252040777275,0,0,0,0,0,0,2025-05-10 04:00:00,3,0,55,50
2558,M17417,M,299.4,309.1,1440,50.0,26.843868520376493,0,0,0,0,0,0,2025-05-10 05:00:00,3,0,51,50
2559,M17418,M,299.2,309.0,1881,23.9,28.607700272574263,0,0,0,0,0,0,2025-05-10 06:00:00,1,0,51,50
2560,L49739,L,299.3,309.0,1447,50.4,0.0,1,0,0,0,0,1,2025-05-10 07:00:00,1,60,7,50
2561,M17420,M,299.4,309.1,1326,62.0,0.5910246034260235,0,0,0,0,0,0,2025-05-10 08:00:00,1,0,50,50
2562,L49741,L,299.4,309.2,1607,31.7,1.5297971339375702,0,0,0,0,0,0,2025-05-10 09:00:00,1,0,53,50
2563,L49742,L,299.3,309.1,1551,39.1,2.5601598193859827,0,0,0,0,0,0,2025-05-10 10:00:00,1,0,47,50
2564,L49743,L,299.3,309.1,1496,37.2,3.351352975054941,0,0,0,0,0,0,2025-05-10 11:00:00,1,0,52,50
2565,L49744,L,299.3,309.1,1493,38.0,4.380389655309543,0,0,0,0,0,0,2025-05-10 12:00:00,1,0,53,50
2566,L49745,L,299.4,309.1,1304,50.5,5.335201945949055,0,0,0,0,0,0,2025-05-10 13:00:00,1,0,53,50
2567,M17426,M,299.3,309.0,1420,41.6,7.042451171893763,0,0,0,0,0,0,2025-05-10 14:00:00,2,0,48,50
2568,L49747,L,299.4,309.1,1766,24.6,8.745755685147548,0,0,0,0,0,0,2025-05-10 15:00:00,2,0,47,50
2569,L49748,L,299.6,309.2,1450,43.1,9.370824265800687,0,0,0,0,0,0,2025-05-10 16:00:00,2,0,46,50
2570,H31983,H,299.5,309.2,1872,22.6,10.477560862478551,0,0,0,0,0,0,2025-05-10 17:00:00,2,0,54,50
2571,L49750,L,299.6,309.2,1713,26.5,11.495991115829735,0,0,0,0,0,0,2025-05-10 18:00:00,2,0,55,50
2572,M17431,M,299.5,309.2,1497,40.9,12.988016325645228,0,0,0,0,0,0,2025-05-10 19:00:00,2,0,49,50
2573,M17432,M,299.4,309.1,1352,44.7,14.638168860152732,0,0,0,0,0,0,2025-05-10 20:00:00,2,0,47,50
2574,L49753,L,299.5,309.2,1499,41.5,16.392001472342095,0,0,0,0,0,0,2025-05-10 21:00:00,2,0,48,50
2575,L49754,L,299.5,309.3,1972,19.3,0.0,1,0,0,0,0,0,2025-05-10 22:00:00,3,60,0,50
2576,L49755,L,299.5,309.3,1422,49.2,0.9195107848196648,0,0,0,0,0,0,2025-05-10 23:00:00,3,0,51,50
2577,L49756,L,299.5,309.3,1523,41.5,1.4510974601541449,0,0,0,0,0,0,2025-05-12 00:00:00,3,0,55,50
2578,L49757,L,299.5,309.4,1563,41.5,2.4857045639286417,0,0,0,0,0,0,2025-05-12 01:00:00,3,0,50,50
2579,L49758,L,299.4,309.3,1391,46.6,4.095731264165961,0,0,0,0,0,0,2025-05-12 03:00:00,3,0,47,50
2580,L49759,L,299.3,309.1,1795,24.7,5.784724979293387,0,0,0,0,0,0,2025-05-12 04:00:00,3,0,55,50
2581,L49760,L,299.3,309.1,1293,53.7,7.383775255099597,0,0,0,0,0,0,2025-05-12 05:00:00,3,0,52,50
2582,L49761,L,299.2,309.1,1345,60.7,8.112117575974898,0,0,0,0,1,0,2025-05-12 06:00:00,1,0,54,50
2583,L49762,L,299.2,309.0,1615,33.7,9.001217184177678,0,0,0,0,0,0,2025-05-12 07:00:00,1,0,55,50
2584,L49763,L,299.2,308.9,1342,50.8,10.755395107495243,0,0,0,0,0,0,2025-05-12 08:00:00,1,0,49,50
2585,L49764,L,299.1,308.8,1502,46.7,12.549841177208457,0,0,0,0,0,0,2025-05-12 09:00:00,1,0,49,50
2586,M17445,M,299.0,308.7,1620,35.4,13.642052101525842,0,0,0,0,0,0,2025-05-12 10:00:00,1,0,46,50
2587,L49766,L,299.0,308.7,1537,42.8,15.54102425233956,0,0,0,0,0,0,2025-05-12 11:00:00,1,0,48,50
2588,L49767,L,299.0,308.7,2248,16.8,17.218534506651952,0,0,0,0,0,0,2025-05-12 12:00:00,1,0,45,50
2589,L49768,L,299.0,308.7,1706,28.6,18.44915832313732,0,0,0,0,0,0,2025-05-12 13:00:00,1,0,49,50
2590,L49769,L,299.0,308.7,2250,16.6,19.403177138705452,0,0,0,0,0,0,2025-05-12 14:00:00,2,0,53,50
2591,L49770,L,299.0,308.7,1396,48.6,20.638850783809378,0,0,0,0,0,0,2025-05-12 15:00:00,2,0,45,50
2592,L49771,L,298.9,308.6,1522,46.4,21.821537130358532,0,0,0,0,0,0,2025-05-12 16:00:00,2,0,54,50
2593,L49772,L,298.9,308.6,1539,45.4,23.687773460854125,0,0,0,0,0,0,2025-05-12 17:00:00,2,0,54,50
2594,H32007,H,298.9,308.5,1415,54.0,24.61339172579481,0,0,0,0,0,0,2025-05-12 18:00:00,2,0,52,50
2595,L49774,L,298.8,308.5,1446,37.0,25.788469621625648,0,0,0,0,0,0,2025-05-12 19:00:00,2,0,52,50
2596,M17455,M,298.8,308.6,1486,41.1,27.034818746708737,0,0,0,0,0,0,2025-05-12 20:00:00,2,0,47,50
2597,L49776,L,299.0,308.7,1426,38.6,0.0,1,0,0,0,0,0,2025-05-12 21:00:00,2,60,6,50
2598,L49777,L,299.0,308.7,1449,38.9,1.4347586367982808,0,0,0,0,0,0,2025-05-12 22:00:00,3,0,54,50
2599,L49778,L,299.1,308.8,1320,67.5,3.143171070019753,0,0,0,1,0,0,2025-05-12 23:00:00,3,0,45,50
2600,M17459,M,299.2,308.9,1447,39.6,4.478234954849034,0,0,0,0,0,0,2025-05-13 00:00:00,3,0,51,50
2601,L49780,L,299.3,309.0,1422,47.3,5.364951265884041,0,0,0,0,0,0,2025-05-13 01:00:00,3,0,46,50
2602,L49781,L,299.3,309.1,1399,52.1,0.0,1,0,0,0,0,0,2025-05-13 03:00:00,3,60,7,50
2603,L49782,L,299.4,309.2,1427,41.5,1.286232001542134,0,0,0,0,0,0,2025-05-13 04:00:00,3,0,54,50
2604,M17463,M,299.3,309.2,1334,46.3,1.9149234288913681,0,0,0,0,0,0,2025-05-13 05:00:00,3,0,48,50
2605,M17464,M,299.3,309.1,1385,45.6,3.548929791552484,0,0,0,0,0,0,2025-05-13 06:00:00,1,0,54,50
2606,L49785,L,299.4,309.2,1552,37.4,4.937654282404878,0,0,0,0,0,0,2025-05-13 07:00:00,1,0,46,50
2607,H32020,H,299.4,309.3,1534,37.5,6.41899924940469,0,0,0,0,0,0,2025-05-13 08:00:00,1,0,50,50
2608,L49787,L,299.4,309.3,1448,48.6,6.932747574680414,0,0,0,0,0,0,2025-05-13 09:00:00,1,0,51,50
2609,L49788,L,299.5,309.3,1409,44.7,8.352850344463672,0,0,0,0,0,0,2025-05-13 10:00:00,1,0,51,50
2610,L49789,L,299.4,309.2,1621,34.5,8.895137355134505,0,0,0,0,0,0,2025-05-13 11:00:00,1,0,51,50
2611,H32024,H,299.4,309.1,1547,40.9,10.481121101488043,0,0,0,0,0,0,2025-05-13 12:00:00,1,0,47,50
2612,L49791,L,299.4,309.1,1957,22.1,11.593181793892267,0,0,0,0,0,0,2025-05-13 13:00:00,1,0,48,50
2613,L49792,L,299.4,309.1,2421,14.2,13.274697054395897,0,0,0,0,0,0,2025-05-13 14:00:00,2,0,53,50
2614,M17473,M,299.3,309.1,1571,38.3,13.790894642980165,0,0,0,0,0,0,2025-05-13 15:00:00,2,0,51,50
2615,L49794,L,299.3,309.1,1634,36.8,15.652089407499803,0,0,0,0,0,0,2025-05-13 16:00:00,2,0,50,50
2616,L49795,L,299.3,309.0,1516,38.7,17.47128344776764,0,0,0,0,0,0,2025-05-13 17:00:00,2,0,45,50
2617,L49796,L,299.4,309.1,1207,66.5,18.076974464268076,0,0,0,0,0,0,2025-05-13 18:00:00,2,0,46,50
2618,L49797,L,299.4,309.1,1670,35.9,19.994658137385407,0,0,0,0,0,0,2025-05-13 19:00:00,2,0,54,50
2619,M17478,M,299.4,309.1,1461,48.6,21.32584738242282,0,0,0,0,0,0,2025-05-13 20:00:00,2,0,51,50
2620,L49799,L,299.4,309.2,1569,40.8,22.55551096313563,0,0,0,0,0,0,2025-05-13 21:00:00,2,0,53,50
2621,L49800,L,299.4,309.2,1556,35.7,23.351684188772328,0,0,0,0,0,0,2025-05-13 22:00:00,3,0,53,50
2622,M17481,M,299.5,309.3,1506,41.5,24.04110939764918,0,0,0,0,0,0,2025-05-13 23:00:00,3,0,45,50
2623,M17482,M,299.6,309.4,1642,30.3,25.24860417182692,0,0,0,0,0,0,2025-05-14 00:00:00,3,0,46,50
2624,M17483,M,299.6,309.4,1283,62.1,27.148993887378797,0,0,0,0,0,0,2025-05-14 01:00:00,3,0,52,50
2625,H32038,H,299.7,309.5,1375,46.8,28.985795083481513,0,0,0,0,0,0,2025-05-14 03:00:00,3,0,49,50
2626,L49805,L,299.7,309.4,1399,39.9,30.412514875365442,0,0,0,0,0,0,2025-05-14 04:00:00,3,0,45,50
2627,L49806,L,299.7,309.4,1650,29.8,31.271403169492636,0,0,0,0,0,0,2025-05-14 05:00:00,3,0,46,50
2628,M17487,M,299.8,309.6,1346,53.2,32.17692605523601,0,0,0,0,0,0,2025-05-14 06:00:00,1,0,55,50
2629,H32042,H,299.9,309.6,1410,51.2,33.15460400544472,0,0,0,0,0,0,2025-05-14 07:00:00,1,0,53,50
2630,L49809,L,300.0,309.7,1586,37.8,34.52605688539211,0,0,0,0,0,0,2025-05-14 08:00:00,1,0,54,50
2631,L49810,L,300.0,309.8,1372,39.6,36.32286889776523,0,0,0,0,0,0,2025-05-14 09:00:00,1,0,47,50
2632,H32045,H,300.0,309.7,1529,42.4,0.0,1,0,0,0,0,0,2025-05-14 10:00:00,1,60,7,50
2633,M17492,M,300.0,309.7,1652,28.6,0.6980527653349933,0,0,0,0,0,0,2025-05-14 11:00:00,1,0,54,50
2634,L49813,L,300.1,309.8,1532,39.8,1.5606995265545156,0,0,0,0,0,0,2025-05-14 12:00:00,1,0,47,50
2635,L49814,L,300.0,309.7,1554,32.0,2.628220899078486,0,0,0,0,0,0,2025-05-14 13:00:00,1,0,47,50
2636,H32049,H,299.9,309.6,1462,51.0,3.279642421532547,0,0,0,0,0,0,2025-05-14 14:00:00,2,0,52,50
2637,L49816,L,299.9,309.6,1254,61.3,4.463791711526435,0,0,0,0,0,0,2025-05-14 15:00:00,2,0,45,50
2638,L49817,L,299.9,309.6,1294,49.7,6.435963104670129,0,0,0,0,0,0,2025-05-14 16:00:00,2,0,55,50
2639,L49818,L,299.8,309.5,1739,27.5,8.092800327605733,0,0,0,0,0,0,2025-05-14 17:00:00,2,0,47,50
2640,M17499,M,299.8,309.4,1412,47.8,9.481652601752973,0,0,0,0,0,0,2025-05-14 18:00:00,2,0,45,50
2641,M17500,M,299.9,309.5,1372,56.2,10.363803981245903,0,0,0,0,0,0,2025-05-14 19:00:00,2,0,55,50
2642,H32055,H,299.8,309.5,1420,46.7,11.593411534550171,0,0,0,0,0,0,2025-05-14 20:00:00,2,0,51,50
2643,L49822,L,299.8,309.5,1542,40.3,13.423334768034204,0,0,0,0,0,0,2025-05-14 21:00:00,2,0,49,50
2644,M17503,M,299.8,309.4,1401,48.1,15.07257042040837,0,0,0,0,0,0,2025-05-14 22:00:00,3,0,46,50
2645,L49824,L,299.8,309.4,1510,42.5,16.674035403883032,0,0,0,0,0,0,2025-05-14 23:00:00,3,0,51,50
2646,H32059,H,299.9,309.5,1547,38.5,17.95163484383263,0,0,0,0,0,0,2025-05-15 00:00:00,3,0,53,50
2647,M17506,M,299.8,309.5,1453,43.2,18.891657783837765,0,0,0,0,0,0,2025-05-15 01:00:00,3,0,51,50
2648,L49827,L,299.8,309.4,1408,45.6,20.5321252604944,0,0,0,0,0,0,2025-05-15 03:00:00,3,0,51,50
2649,L49828,L,299.8,309.4,1436,51.6,21.716600491320843,0,0,0,0,0,0,2025-05-15 04:00:00,3,0,52,50
2650,M17509,M,299.9,309.5,1582,38.2,23.497987583651753,0,0,0,0,0,0,2025-05-15 05:00:00,3,0,55,50
2651,L49830,L,299.9,309.6,1280,59.3,24.84660854347847,0,0,0,0,0,0,2025-05-15 06:00:00,1,0,48,50
2652,L49831,L,299.9,309.5,2008,20.4,25.363607433285203,0,0,0,0,0,0,2025-05-15 07:00:00,1,0,55,50
2653,L49832,L,299.9,309.5,1772,23.5,26.674743686116237,0,0,0,0,0,0,2025-05-15 08:00:00,1,0,52,50
2654,L49833,L,299.9,309.5,1779,26.1,28.462449065013633,0,0,0,0,0,0,2025-05-15 09:00:00,1,0,45,50
2655,L49834,L,299.9,309.5,1567,35.5,30.383591062103324,0,0,0,0,0,0,2025-05-15 10:00:00,1,0,45,50
2656,M17515,M,299.8,309.4,1751,27.0,0.0,1,0,0,0,0,0,2025-05-15 11:00:00,1,60,0,50
2657,L49836,L,299.9,309.5,1349,51.3,1.8314124942409324,0,0,0,0,0,0,2025-05-15 12:00:00,1,0,53,50
2658,M17517,M,300.0,309.5,1425,40.8,3.251168035355608,0,0,0,0,0,0,2025-05-15 13:00:00,1,0,54,50
2659,L49838,L,300.0,309.4,1395,44.5,4.881688808670093,0,0,0,0,0,0,2025-05-15 14:00:00,2,0,51,50
2660,H32073,H,299.8,309.3,1595,32.1,6.2815174907492555,0,0,0,0,0,0,2025-05-15 15:00:00,2,0,49,50
2661,L49840,L,299.8,309.3,1291,56.4,6.8521092875646765,0,0,0,0,0,0,2025-05-15 16:00:00,2,0,54,50
2662,M17521,M,299.9,309.4,1509,42.8,7.605796581530944,0,0,0,0,0,0,2025-05-15 17:00:00,2,0,53,50
2663,M17522,M,299.9,309.4,1483,38.1,9.47730724553067,0,0,0,0,0,0,2025-05-15 18:00:00,2,0,50,50
2664,L49843,L,299.9,309.3,1620,31.1,10.91994148890718,0,0,0,0,0,0,2025-05-15 19:00:00,2,0,45,50
2665,M17524,M,299.9,309.4,1487,42.2,11.495702695155602,0,0,0,0,0,0,2025-05-15 20:00:00,2,0,49,50
2666,L49845,L,299.8,309.4,2256,15.9,12.662422662122289,0,0,0,0,0,0,2025-05-15 21:00:00,2,0,50,50
2667,H32080,H,299.7,309.2,1691,27.7,14.387923387368735,0,0,0,0,0,0,2025-05-15 22:00:00,3,0,50,50
2668,M17527,M,299.8,309.3,1663,35.2,16.096760141164015,0,0,0,0,0,0,2025-05-15 23:00:00,3,0,55,50
2669,M17528,M,299.8,309.3,1640,31.1,17.176114734112648,0,0,0,0,0,0,2025-05-16 00:00:00,3,0,54,50
2670,H32083,H,299.7,309.3,1494,37.8,18.157182981589088,0,0,0,0,0,0,2025-05-16 01:00:00,3,0,46,50
2671,L49850,L,299.8,309.4,1467,46.2,0.0,1,0,0,0,0,0,2025-05-16 03:00:00,3,60,1,50
2672,M17531,M,299.7,309.3,1399,41.9,1.8125130496159554,0,1,0,0,0,0,2025-05-16 04:00:00,3,0,45,50
2673,L49852,L,299.7,309.3,1445,42.6,3.8014096274884457,0,0,0,0,0,0,2025-05-16 05:00:00,3,0,53,50
2674,L49853,L,299.8,309.4,1480,40.9,4.381774466899557,0,0,0,0,0,0,2025-05-16 06:00:00,1,0,45,50
2675,L49854,L,299.7,309.3,1546,37.2,5.67301838373695,0,0,0,0,0,0,2025-05-16 07:00:00,1,0,53,50
2676,L49855,L,299.7,309.3,1574,35.8,6.99034091278104,0,0,0,0,0,0,2025-05-16 08:00:00,1,0,52,50
2677,L49856,L,299.7,309.3,1592,34.2,8.754037073034402,0,0,0,0,0,0,2025-05-16 09:00:00,1,0,50,50
2678,L49857,L,299.8,309.5,1495,39.6,9.41323210199793,0,0,0,0,0,0,2025-05-16 10:00:00,1,0,54,50
2679,L49858,L,299.8,309.6,1447,43.1,11.380630297292143,0,0,0,0,0,0,2025-05-16 11:00:00,1,0,55,50
2680,L49859,L,299.8,309.5,1476,44.4,12.4268118825544,0,0,0,0,0,0,2025-05-16 12:00:00,1,0,52,50
2681,L49860,L,299.8,309.5,1641,27.1,13.872438310126432,0,0,0,0,0,0,2025-05-16 13:00:00,1,0,45,50
2682,L49861,L,299.8,309.5,1545,32.2,15.377393196271417,0,0,0,0,0,0,2025-05-16 14:00:00,2,0,46,50
2683,M17542,M,299.9,309.6,1364,44.4,17.126884404100917,0,0,0,0,0,0,2025-05-16 15:00:00,2,0,48,50
2684,L49863,L,299.8,309.5,1590,28.5,18.23047475132256,0,0,0,0,0,0,2025-05-16 16:00:00,2,0,54,50
2685,L49864,L,299.8,309.4,1460,37.4,19.520367165207244,0,0,0,0,0,0,2025-05-16 17:00:00,2,0,51,50
2686,L49865,L,299.8,309.4,1609,32.5,20.02846497848276,0,0,0,0,0,0,2025-05-16 18:00:00,2,0,50,50
2687,L49866,L,299.8,309.4,1633,27.5,21.438704823865635,0,0,0,0,0,0,2025-05-16 19:00:00,2,0,52,50
2688,L49867,L,299.9,309.4,1348,52.8,23.362079151148706,0,0,0,0,0,0,2025-05-16 20:00:00,2,0,45,50
2689,L49868,L,299.9,309.4,1322,53.9,24.773623006395116,0,0,0,0,0,0,2025-05-16 21:00:00,2,0,47,50
2690,L49869,L,300.0,309.5,1641,30.1,25.564306701430148,0,0,0,0,0,0,2025-05-16 22:00:00,3,0,54,50
2691,L49870,L,300.0,309.5,1728,26.0,26.418811586833275,0,0,0,0,0,0,2025-05-16 23:00:00,3,0,53,50
2692,L49871,L,300.0,309.6,1431,47.7,0.0,1,0,0,0,0,0,2025-05-17 00:00:00,3,60,4,50
